"Ativo","Nome","Classe","Pais Sede","Ativo /|Cancelado","Data do Bal| Mais recente| consolid:sim*","Setor|Economatica","Tipo de Ativo","Bolsa / Fonte","Setor Econômico|Bovespa","ID da|empresa","Código","Setor NAICS|ult disponiv","Subsetor Bovespa","Segmento Bovespa","Segmento listagem|Bovespa"
"TRFO4<XBSP>","Trafo","PN","BR","cancelado","2009-09-30","Eletroeletrônicos","Ação","Bovespa","-","01145","TRFO4","Indústria de equipamentos para geração e distribuição de energia","-","-","-"
"BRTP3<XBSP>","Brasil T Par","ON","BR","cancelado","2009-06-30","Telecomunicações","Ação","Bovespa","-","01768","BRTP3","Telecomunicações","-","-","-"
"DURA3<XBSP>","Duratex-Old","ON","BR","cancelado","2009-06-30","Outros","Ação","Bovespa","-","00527","DURA3","Outras indústrias de artigos de madeira","-","-","-"
"SDIA3<XBSP>","Sadia S/A","ON","BR","cancelado","2009-06-30","Alimentos e Beb","Ação","Bovespa","-","01884","SDIA3","Abatedouros","-","-","-"
"TMGC7<XBSP>","Telemig Cl","PNC","BR","cancelado","2009-06-30","Telecomunicações","Ação","Bovespa","-","01721","TMGC7","Telecomunicações","-","-","-"
"TMCP4<XBSP>","Telemig Part","PN","BR","cancelado","2009-06-30","Telecomunicações","Ação","Bovespa","-","01770","TMCP4","Telecomunicações","-","-","-"
"TMAC8B<XBSP>","Amazonia Celular","PND","BR","cancelado","2008-12-31","Telecomunicações","Ação","Bovespa","-","01728","TMAC8B","Telecomunicações","-","-","-"
"ARLA3<XBSP>","Arthur Lange","ON","BR","cancelado","2008-12-31","Outros","Ação","Bovespa","-","00057","ARLA3","Manufatura de outros artigos de couro e afins","-","-","-"
"IRON3<XBSP>","Anglo Brazil","ON","BR","cancelado","2008-09-30","Mineração","Ação","Bovespa","-","02145","IRON3","Mineração de metais","-","-","-"
"LECO4<XBSP>","Leco","PN","BR","cancelado","2008-09-30","Alimentos e Beb","Ação","Bovespa","-","00360","LECO4","Indústria de laticínios","-","-","-"
"LGLO4<XBSP>","Livr Globo","PN","BR","cancelado","2008-09-30","Comércio","Ação","Bovespa","-","00806","LGLO4","Loja de livros, jornais e música","-","-","-"
"PQUN3<XBSP>","Petroq Uniao","ON","BR","cancelado","2008-09-30","Química","Ação","Bovespa","-","01449","PQUN3","Indústria química","-","-","-"
"SEMP3<XBSP>","Semp","ON","BR","cancelado","2008-09-30","Eletroeletrônicos","Ação","Bovespa","-","01058","SEMP3","Indústria de equipamentos de áudio e vídeo","-","-","-"
"VPSC4<XBSP>","Varig Serv","PN","BR","cancelado","2008-09-30","Transporte Serviç","Ação","Bovespa","-","01869","VPSC4","Atividades auxiliares ao transporte aéreo","-","-","-"
"VGOR4<XBSP>","Vigor","PN","BR","cancelado","2008-09-30","Alimentos e Beb","Ação","Bovespa","-","01022","VGOR4","Indústria de laticínios","-","-","-"
"DSUL3<XBSP>","Datasul","ON","BR","cancelado","2008-06-30","Software e Dados","Ação","Bovespa","-","02009","DSUL3","Serviços de processamento de dados, hospedagem e outros serviços relacionados","-","-","-"
"PEFX3<XBSP>","Petroflex","ON","BR","cancelado","2008-06-30","Química","Ação","Bovespa","-","01399","PEFX3","Indústria de fibras e borracha sintéticas, resinas e filamentos","-","-","-"
"FRPS3<XBSP>","BR Ferrovias","ON","BR","cancelado","2008-03-31","Transporte Serviç","Ação","Bovespa","-","01735","FRPS3","Transporte ferroviário","-","-","-"
"AMRI8<XBSP>","Geodex","PND","BR","cancelado","2008-03-31","Telecomunicações","Ação","Bovespa","-","01803","AMRI8","Telecomunicações","-","-","-"
"DPPI4<XBSP>","Ipiranga Dis","PN","BR","cancelado","2008-03-31","Petróleo e Gas","Ação","Bovespa","-","00519","DPPI4","Posto de gasolina","-","-","-"
"PTIP3<XBSP>","Ipiranga Pet","ON","BR","cancelado","2008-03-31","Petróleo e Gas","Ação","Bovespa","-","00286","PTIP3","Comércio atacadista de petróleo e produtos de petróleo","-","-","-"
"RIPI4<XBSP>","Ipiranga Ref","PN","BR","cancelado","2008-03-31","Petróleo e Gas","Ação","Bovespa","-","00999","RIPI4","Indústria de produtos de petróleo e carvão","-","-","-"
"LETO5<XBSP>","Micheletto","PNA","BR","cancelado","2008-03-31","Siderur & Metalur","Ação","Bovespa","-","00744","LETO5","Indústria de parafusos, arruelas, porcas e produtos torneados","-","-","-"
"ACES4<XBSP>","Am Inox BR","PN","BR","cancelado","2007-12-31","Siderur & Metalur","Ação","Bovespa","-","00265","ACES4","Transformação de aço em produtos de aço","-","-","-"
"CGOS3<XBSP>","Celg","ON","BR","cancelado","2007-12-31","Energia Elétrica","Ação","Bovespa","-","00244","CGOS3","Geração, transmissão e distribuição de energia elétrica","-","-","Tradicional"
"ELEV3<XBSP>","Eleva","ON","BR","cancelado","2007-12-31","Alimentos e Beb","Ação","Bovespa","-","01223","ELEV3","Abatedouros","-","-","-"
"MAGS5<XBSP>","Magnesita","PNA","BR","cancelado","2007-12-31","Mineração","Ação","Bovespa","-","00831","MAGS5","Extração de minerais não metálicos","-","-","-"
"CTWR3<XBSP>","Blue Tree","ON","BR","cancelado","2007-09-30","Outros","Ação","Bovespa","-","01776","CTWR3","Hotel, motel ou similar","-","-","-"
"CELM3<XBSP>","Celm","ON","BR","cancelado","2007-09-30","Outros","Ação","Bovespa","-","00240","CELM3","Indústria de equipamentos e materiais para uso médico","-","-","-"
"FGUI4<XBSP>","F Guimaraes","PN","BR","cancelado","2007-09-30","Textil","Ação","Bovespa","-","00413","FGUI4","Tecelagens","-","-","-"
"GRNL4<XBSP>","Granoleo","PN","BR","cancelado","2007-09-30","Alimentos e Beb","Ação","Bovespa","-","00657","GRNL4","Moinho de grãos","-","-","-"
"FCAP4<XBSP>","Sam Industr","PN","BR","cancelado","2007-09-30","Siderur & Metalur","Ação","Bovespa","-","01298","FCAP4","Indústria de ferramentas de metal não motorizadas e cutelaria","-","-","-"
"ASTA4<XBSP>","Santistextil","PN","BR","cancelado","2007-09-30","Textil","Ação","Bovespa","-","01451","ASTA4","Tecelagens","-","-","-"
"CCTU4<XBSP>","CBC Cartucho","PN","BR","cancelado","2007-06-30","Siderur & Metalur","Ação","Bovespa","-","01331","CCTU4","Outras indústrias de produtos de metal","-","-","-"
"CPSL3<XBSP>","Copesul","ON","BR","cancelado","2007-06-30","Química","Ação","Bovespa","-","01404","CPSL3","Indústria química básica","-","-","-"
"TROR4<XBSP>","Trorion","PN","BR","cancelado","2007-06-30","Química","Ação","Bovespa","-","01152","TROR4","Indústria química","-","-","-"
"VVAX11<XBSP>","Vivax","UNT N2","BR","cancelado","2007-06-30","Outros","Ação","Bovespa","-","01995","VVAX11","TV a cabo","-","-","-"
"ARCE3<XBSP>","Arcelor BR","ON","BR","cancelado","2007-03-31","Siderur & Metalur","Ação","Bovespa","-","00396","ARCE3","Transformação de aço em produtos de aço","-","-","-"
"ASSM3<XBSP>","Eldorado","ON","BR","cancelado","2007-03-31","Outros","Ação","Bovespa","-","00276","ASSM3","Hotel, motel ou similar","-","-","-"
"DFVA4<XBSP>","D F Vasconc","PN","BR","cancelado","2006-12-31","Outros","Ação","Bovespa","-","00502","DFVA4","Outras outras indústrias","-","-","-"
"PLTO6<XBSP>","Politeno","PNB","BR","cancelado","2006-12-31","Química","Ação","Bovespa","-","00968","PLTO6","Indústria química básica","-","-","-"
"FBRA4<XBSP>","Fertibras","PN","BR","cancelado","2006-09-30","Química","Ação","Bovespa","-","00594","FBRA4","Indústria de fertilizantes e pesticidas","-","-","-"
"PTQS4<XBSP>","Petroquisa","PN","BR","cancelado","2006-09-30","Química","Ação","Bovespa","-","01359","PTQS4","Indústria química","-","-","-"
"VAGV4<XBSP>","Savarg","PN","BR","cancelado","2006-09-30","Transporte Serviç","Ação","Bovespa","-","01168","VAGV4","Transporte aéreo regular","-","-","-"
"SUBA3<XBSP>","Submarino","ON","BR","cancelado","2006-09-30","Comércio","Ação","Bovespa","-","01968","SUBA3","Vendas por correio ou meio eletrônico","-","-","-"
"RPSA4<XBSP>","Ripasa","PN","BR","cancelado","2006-06-30","Papel e Celulose","Ação","Bovespa","-","01010","RPSA4","Indústria de papel, celulose e papelão","-","-","-"
"TDBH3<XBSP>","Telefonica Data Hld","ON","BR","cancelado","2006-06-30","Telecomunicações","Ação","Bovespa","-","01893","TDBH3","Telecomunicações","-","-","-"
"CMET4<XBSP>","Caemi","PN","BR","cancelado","2006-03-31","Mineração","Ação","Bovespa","-","01355","CMET4","Mineração de metais","-","-","-"
"ARTE4<XBSP>","Kuala","PN","BR","cancelado","2006-03-31","Textil","Ação","Bovespa","-","00056","ARTE4","Outras indústrias de tecidos","-","-","-"
"PLDN4<XBSP>","Polialden","PN","BR","cancelado","2006-03-31","Química","Ação","Bovespa","-","00963","PLDN4","Indústria química","-","-","-"
"VPTA4<XBSP>","Varig Transp","PN","BR","cancelado","2006-03-31","Outros","Ação","Bovespa","-","01868","VPTA4","Couriers e serviço de entrega","-","-","-"
"CRTP3<XBSP>","Crt Celular","ON","BR","cancelado","2005-12-31","Telecomunicações","Ação","Bovespa","-","01821","CRTP3","Telecomunicações","-","-","-"
"EBCO4<XBSP>","Embraco","PN","BR","cancelado","2005-12-31","Máquinas Indust","Ação","Bovespa","-","00555","EBCO4","Indústria de equipamentos de refrigeração","-","-","-"
"MNSA4<XBSP>","Manasa","PN","BR","cancelado","2005-12-31","Agro e Pesca","Ação","Bovespa","-","00838","MNSA4","Outros cultivos","-","-","-"
"TCOC3<XBSP>","Tele Centroeste Cel","ON","BR","cancelado","2005-12-31","Telecomunicações","Ação","Bovespa","-","01761","TCOC3","Telecomunicações","-","-","-"
"TLCP3<XBSP>","Tele Leste Celular","ON","BR","cancelado","2005-12-31","Telecomunicações","Ação","Bovespa","-","01769","TLCP3","Telecomunicações","-","-","-"
"TSEP3<XBSP>","Tele Sudeste Celula","ON","BR","cancelado","2005-12-31","Telecomunicações","Ação","Bovespa","-","01762","TSEP3","Telecomunicações","-","-","-"
"TETE3<XBSP>","Telet","ON","BR","cancelado","2005-12-31","Telecomunicações","Ação","Bovespa","-","01615","TETE3","Telecomunicações","-","-","-"
"IDCO3<XBSP>","Bompreco Bah","ON","BR","cancelado","2005-09-30","Comércio","Ação","Bovespa","-","01443","IDCO3","Loja de departamentos","-","-","-"
