"Ativo","Nome","Código","Ativo Tot| < Jun 2017| personalizado| consolid:sim*","Imobil| < Jun 2017| personalizado| consolid:sim*","Lucro Liquido| < Jun 2017| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2017| personalizado| consolid:sim*","PasNoCir| < Jun 2017| personalizado| consolid:sim*","Receita| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2017| personalizado| consolid:sim*","DpInCP| < Jun 2017| personalizado| consolid:sim*","DivPag| < Jun 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun17","Dividendos| < Jun 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun17|1 tri","Divid por Ação|30Jun17|1 tri","Patrim Liq| < Jun 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun17|personalizado","DesFin| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2017| de 12 meses| consolid:sim*","Fechamento|30Jun17|ajus p/prov ed"
"ATOM3<XBSP>","Atompar","ATOM3",2023380.2258,0,611642.71532,395639.1618,9667261.0789,0,"-","-","-",2023380.2258,"-","-",20898000,"-",0,0,-8039520.0149,67940942.2,1733538.7229,"-","-",-898178.04141,"-","-",3.2510738922
"AURA32<XBSP>","Aura 360","AURA32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AZUL4<XBSP>","Azul S.A.","AZUL4",10121635574,3839252670.5,23528958.508,3995823287.1,3604109659.3,3964160031.5,"-",173209502.57,"-",552036755.14,"-",0,329957427,"-","-","-",2521702627.9,8527182931.6,421850531.78,17649474.029,341793663.73,341793663.73,"-","-",25.843282296
"BTOW3<XBSP>","B2W Digital","BTOW3",12294729405,561615851.5,-317981476.07,2383237737.7,5489010668.2,3570171754,"-",191109143.97,354063988.04,1866337928,"-",0,452463558,"-",0,0,4422510755.6,5834105691.2,832284834.94,"-","-",67641071.96,-0.26785613368,0.18266435926,12.744699213
"BAHI3<XBSP>","Bahema","BAHI3",77739238.087,5030899.0909,-2058646.1121,22440124.269,16783255.697,16844970.998,"-",247963.26297,"-",13426384.145,"-",0,603818,"-",1.319369619,0.70793127357,34556160.327,32398930.487,1547290.7609,"-","-",-1044751.8813,"-","-","-"
"EBEN4<XBSP>","Bandeirante Energ","EBEN4",3396708777.9,252371.49875,100201403.53,1248323107.8,1029281177.8,1909869256.4,"-",49469221.991,95508836.541,299851504.35,"-",0,39091735000,"-","-",0,1119104492.2,"-",72685195.759,"-","-",179009638.8,-4.3215166026,1.8594937479,"-"
"BTTL3<XBSP>","Battistella","BTTL3",297586773.21,13397730.612,14835917.538,53773864.236,81198601.12,103275045.93,"-",1212264.8412,2501673.8086,5856341.2418,"-",0,15359000,"-",0,0,162614307.85,163623242.82,8628019.4923,"-","-",6135162.1553,0.11684240524,-0.10053537128,11.020589465
"BALM4<XBSP>","Baumer","BALM4",189603731.45,30607483.122,2506082.0444,44731470.58,33190709.292,58257040.031,"-",1597985.4725,3642304.8182,6186958.9258,"-",-1310348.0874,9785000,"-",1.6717030123,0.1654399104,100263118.83,96837148.189,1800764.3186,"-","-",3623569.8162,20.77486911,1.984,9.8964893397
"BBML3<XBSP>","Bbmlogistica","BBML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BMKS3<XBSP>","Bic Monark","BMKS3",223745517.62,525682.11749,4749874.0595,8103439.4338,17988908.184,6849296.3526,"-",117920.30727,252371.49875,178724205.53,"-",0,454750,"-",11.131399405,38.029120738,195274926.79,155360004.84,73837.949417,"-","-",-2953517.9767,-0.29827197596,-37.689873418,341.63827342
