"Ativo","Nome","Código","Ativo Tot| < Mar 2017| personalizado| consolid:sim*","Imobil| < Mar 2017| personalizado| consolid:sim*","Lucro Liquido| < Mar 2017| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2017| personalizado| consolid:sim*","PasNoCir| < Mar 2017| personalizado| consolid:sim*","Receita| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2017| personalizado| consolid:sim*","DpInCP| < Mar 2017| personalizado| consolid:sim*","DivPag| < Mar 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar17","Dividendos| < Mar 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar17|1 tri","Divid por Ação|31Mar17|1 tri","Patrim Liq| < Mar 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar17|personalizado","DesFin| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2017| de 12 meses| consolid:sim*","Fechamento|31Mar17|ajus p/prov ed"
"PRPT3B<XBSP>","Prompt","PRPT3B",9095.3667933,0,-33790.364502,20.985059997,0,0,"-",0,0,2115.0731523,"-",0,51815796,"-","-","-",9074.3817333,"-",0,-33790.364502,-34588.901259,-34588.901259,-17.303973717,"-","-"
"QUAL3<XBSP>","Qualicorp","QUAL3",4109356299.3,77493408.661,116840396.15,824353902.9,870261482.83,560032714.04,"-",64249626.849,241147055.76,249019766.69,"-",0,275532625,"-",0,0,2403767936.1,6284195682.5,44885938.856,"-","-",173056058.46,-22.190237018,3.0225766691,22.807446786
"QUSW3<XBSP>","Quality Soft","QUSW3",72436822.097,1731859.4493,-2792019.158,22751632.049,9037256.9532,15284229.881,"-",195074.90878,578189.20885,17357900.615,"-",0,861605,"-","-","-",40647933.094,"-",785059.93029,"-","-",-2128871.3815,-4.9174723221,2.9980758943,"-"
"RADL3<XBSP>","RaiaDrogasil","RADL3",6330408422.5,1159664236.3,114706546.89,2462192552.1,631659141.72,3376507198.3,"-",85621253.74,319222523.72,200574098.97,"-",-73999.94841,329711846,"-",0.26430411165,0.17126815598,3207493525,21365214304,63738254.071,"-","-",181505306.3,-6.0344878204,3.1537074763,64.799656316
"RAPT4<XBSP>","Randon Part","RAPT4",5327977509.4,1420167248.7,1743968.9334,1422709754.4,1784364069.4,640304986.44,"-",31930425.5,131244983.12,1104588394.1,"-",-1746177.8871,342431000,"-",0,0,1581227584.2,1608204475.2,97988080.94,"-","-",21337388.109,-5.2174265451,0.07298454875,5.3014888413
"RCSL4<XBSP>","Recrusul","RCSL4",52944201.895,33787051.072,-6826771.36,77336572.949,72987143.146,0,"-",87253.670513,357850.49679,1104.4768419,"-",0,38109000,"-",0,0,-97171872.554,45319524.38,2266386.4797,"-","-",-4567011.7414,0.41951898404,-0.40942275042,4.3327017491
"REDE3<XBSP>","Rede Energia","REDE3",15577682751,34136065.754,68861922.141,3806957166.8,7168242465.2,2178475645.4,"-",153489146.72,575863180.62,394769844.18,"-",-6626.8610516,2057874630,"-",0,0,3281217354.2,6284852051.5,203217112.06,"-","-",215277999.17,-1.4184925128,0.81528738413,3.0704475778
"RNEW4<XBSP>","Renova","RNEW4",6599767130.2,3434137695.4,-105696224.82,3878374848.4,594880062.88,168261524.48,"-",3421669.2563,79805078.691,27874786.537,"-",0,360815313,"-","-","-",2126512219,727664270.04,143387601.53,"-","-",38236988.268,0.66279949102,-0.64150207416,18.886553997
"RSUL4<XBSP>","Riosulense","RSUL4",188023928.62,116906664.76,-1858834.525,173929699.64,91593160.025,32326932.687,"-",1665551.0776,5474891.7055,3313.4305258,"-",0,583000,"-",0,0,-77498931.045,11719161.979,6921756.3684,"-","-",3856833.132,-0.54647023579,0.49765695211,20.101478523
"RDNI3<XBSP>","Rni","RDNI3",1631494534.2,22138133.82,-28780457.547,396356977.4,434580711.95,82466867.88,"-",2746833.9059,9678530.5659,193735178.37,"-",-1689849.5682,42189000,"-",0,0,782475454.48,278182737.7,12988647.661,"-","-",-26466578.563,-43.574207188,-2.063494924,6.5937267464
"RSID3<XBSP>","Rossi Resid","RSID3",5149242231,22481626.118,-179900501.45,2723754757.8,1804963667,153101475.35,"-",6357368.7022,22441864.951,114551920.13,"-",0,16737828,"-",0,0,609522112.38,138649075.58,91557816.766,"-","-",-91292742.324,1.2395425548,-1.0956302307,8.2835763145
"RAIL3<XBSP>","Rumo S.A.","RAIL3",27669272113,11646490716,-275227897.67,3793903355,17883359891,1324459912.5,"-",320191149.91,1418907040.6,2858532962.4,"-",0,1339015898,"-","-","-",5696074237.8,12644698030,547079409.64,"-","-",223881873.77,-0.27937105257,0.23834610082,9.4432769986
"SBSP3<XBSP>","Sabesp","SBSP3",41195283101,313870228.94,744817212.08,4825919889.3,18594384529,3930639797,"-",366628878.73,1318654782.2,2191085457.5,"-",0,683509869,"-",0,0,17774978683,24602869574,85155164.513,"-","-",1139852130.7,10.556682319,143.78321705,35.994900279
"SAPR11<XBSP>","Sanepar","SAPR11",10725891596,146698823.1,176775936.46,1105311826.4,4132735865.1,1023221585.1,"-",64482671.463,246846156.27,800723620.87,"-",0,503735173,"-","-","-",5487843905.4,5789892956.6,66888222.025,"-","-",299059194.49,-5.8293522062,4.0053044865,"-"
"SNSY5<XBSP>","Sansuy","SNSY5",437535187.5,166551794.33,-45063759.628,213778119.62,1082391723,98010170.477,"-",4335071.6046,18437031.922,2847341.2985,"-",0,192910,"-",0,0,-863019428.18,4367824.8653,25028549.715,"-","-",-23978192.238,0.75848144089,-0.71746650591,22.64177526
"CTSA3<XBSP>","Santanense","CTSA3",500907859.74,157031203.96,1202775.2809,191445597.87,34989826.353,103157032.56,"-",3167639.5827,12775483.63,19473031.2,"-",0,39299000,"-",0,0,274472435.51,102140195.95,6531876.0432,"-","-",5096056.1487,-0.83925750395,0.55029003522,0.84797343351
"STBR11<XBSP>","Santos Bras","STBR11",3313.4305258,0,-96089.485248,35343.258942,0,0,"-",0,0,3313.4305258,"-",0,710000,"-","-",0,-32029.828416,"-",0,-96089.485248,-96089.485248,-96089.485248,-173,"-","-"
"STBP3<XBSP>","Santos Brp","STBP3",2029781032.7,998777303.69,2141580.5965,285518308.41,207027557.16,240337474.24,"-",26034728.118,105536075.67,160952096.74,"-",0,659947000,"-",0,0,1537235167.1,1661883286.8,12208887.01,"-","-",10238500.324,-0.79927611803,0.27889802209,2.5182071996
"SCAR3<XBSP>","Sao Carlos","SCAR3",3343052594.7,13387363.801,233044.61365,206533856.01,1665090510.8,76126066.33,"-",11651126.205,47747638.354,59408704.851,"-",0,56527000,"-",0,0,1467953543.8,1966007689.4,50370770.853,"-","-",46759131.58,-1.8356467624,1.4887024507,34.779975753
"SMTO3<XBSP>","Sao Martinho","SMTO3",9599983486.3,5841081002.4,313524527.69,2196619991,3644475369.6,2882153304.1,"-",707065089.15,707065089.15,157337144.04,"-",-61170345.414,358579812,"-",0,0,3758888125.7,6843624739.3,485447392.91,"-","-",738765783.46,-2.6206246719,1.5218245978,19.085359829
"SLED4<XBSP>","Saraiva Livr","SLED4",1381308440,100087691.41,310357.99258,613425333.53,224822888.04,556033403.4,"-",9578023.1733,40642538.83,19601150.514,"-",0,26686000,"-",0,0,543017143.81,154653928,16631212.286,"-","-",12811931.366,0.071963821875,-0.03731914605,4.7255362205
"SHUL4<XBSP>","Schulz","SHUL4",1029121700.4,352151396.28,6841129.559,310441932.82,207774183.5,158718844.57,"-",9266560.7038,38264600.189,62565299.665,"-",-1104.4768419,63536331,"-",0,0,510905584.11,375433073.23,16190526.026,"-","-",8163188.3388,-24.241157556,0.4464592389,4.2206793603
"SEER3<XBSP>","Ser Educa","SEER3",2270711611,708346282.28,88606654.644,409752072.54,722658093.2,341084538.33,"-",16045839.56,66592222.231,56465274.067,"-",0,124835744,"-",1.3410439419,0.30363615547,1138301445.2,2826502860,41765791.778,"-","-",109567416.15,-4.3854326526,2.1325028881,22.518236685
"CSNA3<XBSP>","Sid Nacional","CSNA3",48351969425,19793407902,94576351.975,5972958850.8,33907742779,4872505618,"-",443200049.23,1548287666.9,4766696736.5,"-",0,1357133047,"-",0,0,7121611453,13655179618,677864930.4,"-","-",830331331.57,-1.1606334714,0.9327837568,10.06178403
"SQIA3<XBSP>","Sinqia","SQIA3",166498779.45,1588237.6987,681462.21147,37363347.086,50905337.645,35364244.002,"-",1937252.3808,7475099.2662,4807787.6929,"-",0,11187803,"-",0.5849932125,0.026167513964,78230094.714,200178043.08,981879.91248,1076864.9209,1190626.0356,1190626.0356,2.230820996,2.2114743162,4.4731312098
"SLCE3<XBSP>","SLC Agricola","SLCE3",5925269749.7,2947483109.3,82546390.213,1989751478.5,846839946.93,507088512.15,"-",14615542.049,107346313.22,1045805927.6,"-",0,97146857,"-",0,0,2881525961.2,1912022807.1,116045172.82,"-","-",162606603.05,-2.2752202457,0.5319653896,9.8408886617
"SMFT3<XBSP>","Smart Fit","SMFT3",1275388006.4,630979888.46,-2353640.1502,326587175.3,451555416.53,191547209.74,"-",30756366.617,"-",188289003.06,"-",-538984.69886,14610138,"-","-","-",468628419.56,"-",28010637.188,"-","-",25710011.927,"-","-","-"
"SMLS3<XBSP>","Smiles","SMLS3",1838434837.7,1804715.1597,172662864.7,1196157255.6,208104422.08,489619001.94,"-",3681221.3142,11857663.375,44690446.455,"-",-572738615.63,123836952,"-",6.6695249643,4.6702569415,434173160,8671537894.8,471611.61151,263335995.52,198098966.37,198098966.37,2.9817479435,124.44499241,70.023831779
"SOND6<XBSP>","Sondotecnica","SOND6",83467523.899,1065820.1525,-2635281.7449,16701898.804,8654680.5334,12615334.488,"-",151313.32735,891312.81144,4321817.8825,"-",0,2431000,"-","-",0,58082228.164,53699664.055,1101163.4114,"-","-",-3502296.0658,13.092009685,-0.80629287205,"-"
"SPRI3<XBSP>","Springer","SPRI3",77504453.429,5131399.4076,-4752563.8509,7850621.3925,3123460.509,3258206.6837,"-",68477.5642,850447.16829,548924.99044,"-",0,2529419,"-",0,0,66021207.704,43410368.274,216477.46102,"-","-",-4595728.1393,-5.3238194084,-5.4627263046,"-"
"SGPS3<XBSP>","Springs","SGPS3",2821420331.5,806185258.85,-13481244.332,839997712.89,864701546.41,570132050.29,"-",20368761.919,84551015.681,137339486.34,"-",0,50000000,"-",0,0,1112895164.4,516895162.03,62904374.056,"-","-",39355823.309,-0.7414719238,0.62478953201,10.33790324
"AHEB3<XBSP>","SPturis","AHEB3",291599557.9,258396775.08,-16856525.562,62279240.163,186432377.49,19798851.869,"-","-","-",18055987.412,"-",0,5176000,"-",0,0,42887940.249,520534501.04,2413281.8996,"-","-",-15290377.399,9.5045815516,-6.5039189048,"-"
"STTR3<XBSP>","Stara","STTR3",659044645.01,200305711.1,4031340.4731,155457324.46,132010385.57,148146792.24,"-",6810204.2074,"-",30433859.38,"-",0,297498383,"-","-","-",371948039.2,"-",6634592.3895,"-","-",6493219.3537,"-","-","-"
"STKF3<XBSP>","Statkraft","STKF3",1665866958,1060924006.6,33079081.416,156982606.97,622538371.96,63940373.333,"-",16116526.078,63271060.367,162284095.82,"-",0,143347224,"-","-","-",886345979.08,"-",12466230.114,"-","-",13467990.61,-1.2260702662,0.69280100597,"-"
"OPSE3B<XBSP>","Sudeste","OPSE3B",109540.9087,0,-34228.841808,67.373087358,0,0,"-",0,0,105663.09051,"-",0,81178324,"-","-","-",109473.53561,"-",0,-34228.841808,-35507.825991,-35507.825991,-16.445374171,"-","-"
"SULT3<XBSP>","Sultepa","SULT3",1480758848.3,156702069.86,4837608.5677,190459300.05,1014471919.6,19024613.602,"-",1311014.0114,5971906.2844,16196048.41,"-",0,12600000,"-",0,0,270645423.26,7077133.3423,7532532.062,"-","-",-1196148.4198,-0.31380142357,-38.764530552,"-"
"NEMO5<XBSP>","Suzano Hold","NEMO5",32613951979,17841675830,165947645.5,3547745287.8,17304161190,2489502951,"-",403955778.08,1564301476.6,1149272213.7,"-",0,172927000,"-","-",0,3994571334.5,"-",311082529.39,"-","-",514909312.66,1.7442148428,0.74348209053,"-"
"SUZB3<XBSP>","Suzano S.A.","SUZB3",32506424532,17841145681,497176936.97,3526475272.8,17270982706,2489389189.9,"-",403938106.45,1564223058.7,1110379166.2,"-",0,1088281468,"-","-","-",11708966553,15938277062,311642499.15,"-","-",517653937.62,1.7401862835,0.75667541,"-"
"TAEE11<XBSP>","Taesa","TAEE11",9580095171.8,23210580.833,222405188.23,1244311341.5,3355747451.5,367039744.11,"-",900148.62618,3302385.7574,239916668.56,"-",0,1033497000,"-",0,0,4980036378.8,8732272295.7,95414649.898,274135570.08,294649018.46,352438560.26,-3.6948946444,3.1266933887,25.347743522
"TASA4<XBSP>","Taurus Armas","TASA4",990520234.82,259265998.35,-7127189.061,411678280.16,772069073.68,234584254.37,"-",9356023.328,33961558.413,25249445.083,"-",0,64688212,"-",0,0,-193227119.02,122649693.51,28084637.137,"-","-",-2596625.0554,2.6608248505,-0.72619911403,1.6303029495
"SJOS4<XBSP>","Tecel S Jose","SJOS4",5283817.2118,1109999.2261,-2070894.0786,193792611.16,779760.65041,0,"-","-","-",34238.7821,"-","-",12552000,"-",0,0,-189288554.6,1250824.6623,"-","-","-",408656.43152,0.0485565756,"-","-"
"TECN3<XBSP>","Technos","TECN3",816262505.56,39290659.175,-14706109.15,143319123.96,174857460.18,63334015.547,"-","-","-",26941503.605,"-","-",77298415,"-",0,0,498085921.41,360279585.19,12541334.54,"-","-",-15715600.983,-2.2506963788,0.03365755108,4.660892273
"TCSA3<XBSP>","Tecnisa","TCSA3",3248919137.9,18795986.896,-70060279.515,1158935281.6,496189534.67,110828728.7,"-",2421013.2375,10185485.436,11376111.471,"-",0,273500000,"-",0,0,1564721177.8,815600923.93,19594523.653,"-","-",-68206967.374,-258.35976214,-8.9835619271,29.820874732
"TCNO4<XBSP>","Tecnosolo","TCNO4",270335065.26,23751774.486,571014.52728,128246328.5,122881884.48,545611.55992,"-","-","-",49701.457887,"-","-",6620000,"-",0,0,19206852.281,9557104.3819,601939.87886,"-","-",1172954.4061,-0.98179059181,0.98179059181,1.4358198945
"TGMA3<XBSP>","Tegma","TGMA3",804795826.98,236535864.95,6021607.7422,234277209.8,150234253.47,235821268.43,"-",7258621.8052,32545619.101,139178440.28,"-",0,65937715,"-",0,0,420284363.71,841148145.08,10596350.821,10769753.685,15860287.45,15504645.907,-2.5230399306,1.1500673794,12.756707524
"TEKA4<XBSP>","Teka","TEKA4",1044677152.2,268332648.75,-51106352.43,2186227968.4,356220288.97,39691584.269,"-",1737342.0724,7223278.5463,273910.2568,"-",0,503000,"-",0,0,-1497824119.9,6111070.3664,52683545.36,"-","-",-9671903.7048,-0.02396226806,0.018104599716,12.149245261
"TKNO4<XBSP>","Tekno","TKNO4",234289359.05,102436913.65,-4743728.0361,19938015.951,11375006.995,31871888.228,"-",1799192.7755,8144412.2324,30785083.015,"-",0,2948000,"-",0,0,202976336.1,97956773.11,347910.20521,"-","-",-6591517.7927,-4.5467735777,-33.496483826,"-"
"TELB4<XBSP>","Telebras","TELB4",3456483470.9,2610147165.4,-68670847.647,170735552.61,3907579425,18080285.902,"-",16198257.364,52838172.118,280614431.23,"-",0,11844077,"-",0,0,-621831506.78,589822723.46,20947507.784,"-","-",-51004740.561,2.582831851,-2.2625920399,41.727859676
"VIVT4<XBSP>","Telef Brasil","VIVT4",1.141534514E11,34982498149,1100276516.5,20833209894,16248236045,11696575427,"-",2146672234.8,8487640560.3,6941641369.5,"-",-342387.821,1688694000,"-",1.0328591371,0.5333095065,77072005462,80120088740,932494334.97,"-","-",1735229208.2,-5.0200882363,1.6193742218,51.634292361
"TEND3<XBSP>","Tenda","TEND3",2086120396.4,34834095.118,20918791.386,377824960.47,492427686.55,358609272.38,"-",4717220.5919,17508166.898,50270263.461,"-",0,54000000,"-","-","-",1180194251.8,"-",6965935.4421,"-","-",25439415.1,-5.1993194747,2.2795272838,"-"
