"Código","year","Quarter","kz_dum","SETOR_NUM","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK"
"GGBR4",2019,80,1,14,"Gerdau","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",398,1.39269804407714,158.080664316813,54055865129,16695143650,1204915042,7431809226.7,19424313217,39682840735,2076326742,2644239460,26982103720,1734123887.2,3187052617.4,32328597047,1697492009,484647240.46,0.00960491624803902,0.0612839666633631,0.50159354929966,-0.176606886272508,24.7132838881695,0.0285453029516653,0.202148953943379,1.65453734175941,0.498830001605951,0.049386632739707,0.162904862244923,0.00905178809823468,0.0298578828199312,1.09488062672682,1.83784598143445,0.0222901814470006,5.06310543639972,0.99533093202786,0.0446560822129995,0.0742317486381681
"GOAU4",2006,28,0,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,0.40167437901005,96.7511024475098,55216564659,22778661818,2740121737.8,11349302567,17671450715,47956160740,2060126667.1,1444064932.7,9680364094,1167534364.3,8119450210.8,16094409004,1.84e+08,2388096352.8,0.196867677980782,0.104049612604198,0.629050391098879,0.0745910785440219,24.7345288296153,0.247186978174158,0.262825241905198,1.58895662437528,0.749868614904562,0.0313013794597308,0.0790660572640923,0.0517640920658803,0.130754067013883,0.817058478096509,6.95435651323895,0.0496249948674302,4.57214172665127,2.99789894266347,0.283059780726467,0.150028310587393
"GOAU4",2007,32,0,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,0.705430153708676,113.58053334554,81418822901,30861114130,3557321009.8,13044320771,35590914828,59685523415,2568263959.1,9880754042.2,12203815001,2367933997.1,9580894683.5,25202756997,184001000,2403982940.2,0.474536190431564,0.110937451591378,0.88080879169785,0.244585106355618,25.1228723227932,0.354825598473618,0.268917683481278,2.13512259796437,0.7994081945618,0.178945468687167,0.433772366486959,0.0435373507034752,0.105536618411023,0.906890937072158,4.0460987068194,0.0436916290736047,4.73251213020812,3.98524851409291,0.291492538153726,0.156169007566062
"GOAU4",2008,36,0,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,0.935987076260948,174.038621902466,110743822480,36916525116,3340041644.4,15672833615,50193290845,77148813879,3490772148,9771323322.3,17989530419,5251125787.9,14845638352,14526435887,406424000,3087939271.5,0.360174693444749,0.0838972309966434,0.808979080182588,0.29258837763013,25.4304854653543,0.196214918246051,0.221340479271932,2.13427565131136,0.785470276930541,0.120013075283357,0.316622506923732,0.0379266017546671,0.10005922853246,0.725932684520788,2.82713439967641,0.0301600718631796,5.15927723954065,3.66135874177317,0.185665860453609,0.108228161508698
"GOAU4",2009,40,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,2.21900264292767,131.44704469045,80651639319,29528961332,659746617.81,8419109689.8,34584664470,46838316104,3080335291.9,8442557040.8,14813937881,790198318.15,1418305307.1,23851918570,406424000,607892781.67,-0.271727871470524,0.0337723750720763,0.388317589160031,-0.392883522778962,25.1134049676471,-0.200115361908701,0.101311862315259,1.1648922542052,0.743782011461361,0.0762350156580942,0.228693166929216,0.00548918005588784,0.0164666847640688,0.828944002804045,1.79487259656603,0.00818020096529614,4.87860406853784,2.90292658881442,0.0445355328954211,0.0178713087360451
"GOAU4",2010,44,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,1.80128670521464,92.7765544255574,71847548448,26948893893,1492523595.8,8351146127.9,33018967647,52312093527,3154666688.3,1770075955.4,13047053838,2088330595.4,6007402307.2,17416334164,406424000,1495378054.4,-0.109161958087142,0.0576205310064319,0.512948206933148,0.116865376006388,24.9978123284718,-0.0873741344977152,0.157377370367034,1.4010013190023,0.760240115200206,0.021947178883728,0.0599437256020855,0.0185411985054062,0.0506410651423586,0.818210909192635,2.87665292096596,0.0207734797921494,4.53019396159539,3.17083950818139,0.114395450063444,0.0505443987351692
"GOAU4",2011,48,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,1.94067423655616,133.884857654572,78499581035,27061108472,1189914838.9,10598506610,29488530237,55397546578,2772419808.4,2310949604.8,14144093660,1770748589,4488017713.9,10835439368,406423338,849709174.01,0.0925853801652598,0.0551491976120488,0.557945785387697,0.0589816396739598,25.0863591245868,0.00416397717270125,0.147031438953761,1.48752067547428,0.739188662899544,0.0321646271128174,0.0857530410700927,0.0118265576538771,0.0315303914655552,0.648697426707228,2.53453129471899,0.0151582317155229,4.89698015933123,2.83418915418862,0.0841280372927055,0.0441544964192049
"GOAU4",2012,52,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,2.02593891506362,117.530190149943,78896599950,29108839501,675181650.19,13496046410,25755206149,56147984869,2701694881.8,2125375467.9,14732573858,1901457144.6,3430309385.8,12771911602,406423338,726249237.25,0.00505759278922755,0.043017765030929,0.500018624831887,0.0135464174382412,25.0914039707138,0.0756706263942875,0.124787073503809,1.45046728590638,0.72709281953825,0.0270749912276904,0.0785398525008359,0.00925163201732494,0.0268373794813855,0.659384107730488,1.80404243952688,0.00855780414641303,4.76669523802776,2.66424950163654,0.0458291712431068,0.0249502584452003
"GOAU4",2013,56,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,2.07452242748367,137.888738632202,81659196817,29897444375,705046586.81,10197155207,29351727117,55640393600,2832780552.5,2930651890.3,15516860704,2468180891.6,3793072305.4,12423436025,406423338,533501311.57,0.0350154109144218,0.0448413130800575,0.501274862909983,-0.00904024018287159,25.1258202870927,0.0270915944269406,0.121537897077225,1.35865541196314,0.718212088846056,0.0371454776524879,0.100679104373066,0.00676203172136824,0.0183278110950343,0.636453949767239,1.53678861963036,0.00863401324397085,4.92644711817385,2.54876827719443,0.0454374502845315,0.0242210475888528
"GOAU4",2014,60,1,14,"Gerdau Met","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Nível 1","Materiais básicos","Siderurgia","Siderurgia e metalurgia",865,2.10445899571098,148.63472366333,82971919126,29031971495,265161275.57,11235678618,30756683954,55809649113,2921773064.7,4081614417.1,15210974047,2717787313.7,3764668349.2,5542277961.1,406423338,533283143.77,0.0160756211200784,0.0390272555265513,0.514239230960179,0.00304195391241805,25.1417680637155,-0.0289480555309169,0.10659554376276,1.40454689187794,0.734089391527772,0.0499835239164424,0.136520512118187,0.00653059501632252,0.0178370812261107,0.572900338256785,1.38519608588311,0.00319579537707607,5.0014917770144,2.7606622983018,0.0174322350922883,0.00886902814314543
