"Código","year","Quarter","Quarter_index","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NUM","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","kz_dum","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK","INV_AT_L1","INV_K_L1","INV_AT_L1_quad","INV_K_L1_quad","LN_PU_FC_AT","LN_PU_FC_K"
"SAPR11",2017,72,"4","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.570552086042991,0,228.669570922852,10964755441,140754860.64,743253255.08,1361180579,4022282041.3,4191288610.5,267852887.36,578301058.41,5581292821.4,340174098.48,1230761497.9,6322061466.5,503735173,304706191.63,0.0133071092426893,0.0934413036247311,0.497512322536102,0.345182309434015,23.1179519149652,-0.0342701004463529,6.937276829637,36.9363501332307,0.490978813793346,0.0534436519740545,3.96776793718303,0.0281594014449614,2.09061256213975,1.06755906684704,3.61803412840487,0.0677856664546104,5.43227803980592,0.964554771191816,0.13316865444332,5.09951761600018,0.0270800046187704,0.00612564843054436,0.000733326650152626,3.75235686946306e-05,0.507599141691464,37.6852165776915
"SAPR11",2018,74,"2","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.608858384898414,0,161.417689005534,10969458993,154652112.86,465010986.34,1223454752.4,4181369076.7,2131533928.4,139561887.44,361146656.06,5564635164.8,127230215.2,714864326.79,5186773682.9,503735173,315016637.19,-0.0148734154108255,0.0542944561497713,0.48538725952348,0.982779828041758,23.1183807930621,0.0497239389635184,4.10362721024926,36.6860358669835,0.492715623633359,0.0324332468946027,2.45133599103165,0.0282904803310524,2.13822171010026,0.965553316600105,5.61866790578218,0.0423914239195151,5.08399534713864,0.971280896057497,0.0835654041223587,3.15633039352021,0.015533420505042,0.0466882652586172,0.000241287152586459,0.002179794112859,0.27603276244086,20.8628216432988
"SAPR11",2018,75,"3","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.54255249204069,0,147.530364990234,11053391040,166572705.97,600037397.69,1349158106.2,4041069086.9,3211792319.1,210715453.07,338235217.95,5663163847.6,213408144.92,1011771887.9,4338309141.6,503735173,312762080.52,0.00765142994322327,0.073910012451605,0.491384962242869,0.5067985905863,23.1260030992797,0.0770800533503942,5.24242983666146,34.8538865290482,0.487653713982659,0.0308342661352615,2.18707143209993,0.0285120789201714,2.02235892375509,0.880140429257807,4.74101814754672,0.0542853677680076,4.99403401893329,0.951804916501636,0.105954447696987,3.87991723225397,-0.0148734154108255,0.0497239389635184,0.000221218485982981,0.0024724701060477,0.369109116523098,26.1808729461582
"SAPR11",2018,76,"4","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.510593330682798,0,239.847081502279,11256584909,176210773.76,931829667.64,1418732117,3868639354,4345683580.6,283350298.67,341022259.56,5969213438.3,276673393.88,1431061682.1,6517545325.5,503735173,311551999.26,0.0183829440453778,0.109937299957317,0.478348359509409,0.353040031497969,23.1442191196053,0.0578610267142795,7.29519256611498,31.7421238984511,0.46971363993636,0.0308522749557949,2.0472877448567,0.0281861012726824,1.870366441163,1.0487120998005,5.1723863362181,0.0827808500689203,5.48000155986186,0.885773565588202,0.15610593879273,5.59413177695405,0.00765142994322327,0.0770800533503942,5.85443801760537e-05,0.00594133462449962,0.602456575253098,39.9776666418027
"SAPR11",2019,78,"2","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.423580275394342,0,165.309499104818,11640017140,266584332.3,459669258.52,1463829552.4,4271734619.1,2244734059.9,169673172.1,352052605.73,5904452968.7,121478029,703297346.11,8516759045.2,503735173,399501162.77,0.0167608333929254,0.0549733498284798,0.501004159775055,0.986525842500004,23.1777147517572,-0.0223692961676894,2.30795440260976,21.033732888506,0.492745337263434,0.0307519565044374,1.29106400873739,0.034896609714053,1.46506960694577,1.22442459021156,5.78950244665231,0.0394904279771533,5.10781946902475,0.971396368453556,0.0778512863014991,1.68572090062393,0.0170168766591765,0.547488144461571,0.000289574091233626,0.299743268325974,0.280793946531418,11.7886144312715
"SAPR11",2019,79,"3","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.374459109086444,0,142.856068929036,11773640053,268503631.21,706666083.12,1285804605.2,4350510198.2,3446379620.6,256029991.27,262282600.66,6137325249.6,181121937.91,1109529509.2,8634452086,503735173,401655280.94,0.0114796147971995,0.0827057265303992,0.484218771811877,0.535317560403361,23.1891289757415,0.00719959381498868,3.61122525875464,21.1427084058983,0.47872321372385,0.0225328362927136,0.983863524150553,0.034506416623713,1.50667249449603,1.21209471541163,6.12587035012472,0.0600210368194445,4.96183761240182,0.918366645757832,0.115142355078225,2.65081626149265,0.0167608333929254,-0.0223692961676894,0.000280925536025403,0.000500385411037804,0.410372384659554,17.9183133157443
"SAPR11",2019,80,"4","Sanepar","UNT N2","Outros",10,"Água, esgoto e outros sistemas","Nível 2","Utilidade pública","Água e saneamento","Água e saneamento",1862,0.417059921970027,0,177.479120890299,11951298669,298007608.52,1081091877.7,1292647891,4478689519.1,4727451939.8,337772519.56,274327436.83,6179961259.6,246157872.15,1635885758.5,10010617856,503735173,394986505,0.0150895233080216,0.12051195644447,0.49019142628107,0.371715382583701,23.2041057846493,0.109882973191244,5.28433969725455,21.4944482653427,0.48290462564809,0.023300137900861,1.02168985794998,0.0335483761370261,1.47106578492071,1.32052220458988,6.64567719980594,0.090458109000673,5.17885297320961,0.933879221513688,0.174935057403576,4.02635849961547,0.0114796147971995,0.00719959381498868,0.000131781555892082,5.18341511008233e-05,0.624113703939751,27.3668183525763
"CTSA3",2011,46,"2","Santanense","ON","Textil",17,"Tecelagens","Tradicional","Consumo cíclico","Fios e tecidos","Tecidos vestuário e calçados",408,0.849741376227995,0,119.138819376628,540375875.06,180240799.81,19867397.106,159917787.33,36340138.828,305732353.73,7774338.37,19528894.135,344117948.9,9038510.6019,34177570.086,207852053.97,39299000,5329416.4394,0.030212572435097,0.0526982508390822,0.374160639472591,0.947206202734889,20.1077755203077,0.00344811166598471,0.153888838130999,1.09261968217143,0.363187801707349,0.0372313295100325,0.108722508795722,0.0101603940386912,0.0296702681525766,0.747831275930167,3.78132765356446,0.0367658846794262,4.78028936260492,0.570321678323824,0.0577342657350705,0.110607044191711,0.0187182250772595,-0.0195527943917157,0.000350371950042946,0.000382311768524709,0.25191288791395,0.735633175941245
"CTSA3",2011,47,"3","Santanense","ON","Textil",17,"Tecelagens","Tradicional","Consumo cíclico","Fios e tecidos","Tecidos vestuário e calçados",408,0.763560485764165,0,173.214795430501,533359722.08,181222234.65,31747980.457,146848696.21,33833822.773,450867357.06,11562614.482,11048297.199,352677203.1,10092682.987,47847381.347,181959145.83,39299000,5282863.9481,-0.0129838382944482,0.0801490165233432,0.334364517962498,0.474712609114874,20.0947066552,0.00544513140773109,0.240292958002049,1.00245071689354,0.338762961472525,0.0204455781779179,0.0612974266128785,0.00977627646221886,0.0293100338750655,0.679919479856423,4.74079899355111,0.0595245181491939,5.15453241644355,0.512316978230567,0.0900199394175132,0.176142030497351,0.030212572435097,0.00344811166598471,0.000912799533145983,1.18894740610999e-05,0.413130703815642,1.23859784146467
"CTSA3",2011,48,"4","Santanense","ON","Textil",17,"Tecelagens","Tradicional","Consumo cíclico","Fios e tecidos","Tecidos vestuário e calçados",408,0.612235123729962,0,139.056917826335,536647802.86,183490356.15,38132499.064,150896550.95,39657986.779,579489756.31,15192293.037,8946398.7218,346093265.14,15275216.985,54127433.33,199892806.86,39299000,7937229.9258,0.0061648464326799,0.0999790383365351,0.357272080812316,0.285277692509647,20.1008525767066,0.0125156910485101,0.294250825258765,1.05149645735814,0.355083048342445,0.0167736676607502,0.0493670036630905,0.0148815697871717,0.0437983227672334,0.727567209831397,3.54348048758667,0.0710568437265138,4.93488333008132,0.550587246047443,0.110179835624871,0.21041843534071,-0.0129838382944482,0.00544513140773109,0.00016858005685638,2.96494560474596e-05,0.493384889644528,1.45209349243215
