"Código","year","Quarter","NOME","kz","kz_quintile","kz_dum","SETOR_NUM","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK","INV_AT_L1"
"ALPA4",2013,56,"Alpargatas",0.36661261923667,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,137.888738632202,4692620711.2,871340903.36,432709982.94,1416058776.3,716055175.65,4781916320.6,93032136.87,187987671.16,2560506759.2,209840145.72,454188386.02,8152700386.2,421519000,153154357.71,0.158215084838901,0.129761702761485,0.526240387562132,0.0757491280423713,22.2692570503775,0.192275804532587,0.719385037998333,2.91742057283643,0.454354631066591,0.0463984135733759,0.257227855378086,0.0378009854888046,0.209564631193399,2.19169947266417,2.1644494406044,0.092210730329694,4.92644711817385,0.832692178721744,0.168993884271251,0.592087024779461,0.0601759873883585
"ALPA4",2014,60,"Alpargatas",0.242124561746549,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,148.63472366333,4783339147.6,915717730.67,367484709.05,1305996510.7,721507051.13,4868072174.7,101954835.11,415309364.35,2620493083.6,219075984.84,426339769.09,4221267683.7,462201000,152559063.21,0.0193321476384146,0.100037819600373,0.432062100606364,0.018017014168326,22.2884047060093,0.0509293516910285,0.538755316489542,2.32687752177327,0.436210203340719,0.0885026491399082,0.47663246698108,0.0325104185057794,0.175085391517503,1.30636173867481,1.94608171863919,0.0768259781944131,5.0014917770144,0.773710709071837,0.14023494713642,0.421746193290058,0.158215084838901
"ALPA4",2015,64,"Alpargatas",-2.37069397488707,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,249.816769917806,4460586007.5,878140942.84,322755334.32,1552084147.9,619538674.4,4890569303.3,120432633.92,468079030.69,2180269091.5,264767846.6,437119579.14,4599191617.9,460846000,503598070.69,-0.0674744420457703,0.0926524242928427,0.453997250725906,0.00462136299394263,22.2185459861634,-0.041035339353434,0.483978799794271,2.37149806055529,0.499006608002765,0.0978561244031493,0.511160825014846,0.105281698652431,0.549949022305743,1.5179203873248,1.6509541651422,0.0723571597492619,5.52072772881606,0.996034310978536,0.14803463277918,0.352461597619007,0.0193321476384146
"ALPA4",2016,68,"Alpargatas",0.371267738252553,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,308.932376861572,4217416519.7,805204363.35,403188173.72,1109013639,804858678.23,4521119859.6,115549156.17,436396248.06,2203489545.8,219372895.9,526715965.61,4864294162.8,463054000,146960782.97,-0.0545151438378582,0.116293538341778,0.429062978275058,-0.0755432385858855,22.1624885784007,-0.0830579419906279,0.590722177481384,2.17945915497384,0.464829757718105,0.0978338378245025,0.496954676374215,0.0329465192965456,0.167354436856928,1.60718450462943,2.40100748749791,0.0956007479547409,5.73312240783948,0.868564282902077,0.182977121215984,0.459138338791091,-0.0674744420457703
"ALPA4",2017,72,"Alpargatas",0.180061247640204,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,346.490038553874,4174015012,781677181.91,392427086.11,1214800723.2,506455366.8,4031477224,115708305.22,681583031.25,2368271343.6,140761359.76,410979929.64,8645175141.2,463054000,161760041.73,-0.0102910176164168,0.120484990978825,0.408130447149299,-0.108301184398,22.152144242145,-0.0292188946196426,0.631063881988836,2.13766363962414,0.420893640633872,0.161611505068625,0.846472103571717,0.0383552444901758,0.200893150972267,2.48356347578944,2.91969280732103,0.094016692556639,5.84785406945444,0.726798512616179,0.165701910454852,0.487363337770964,-0.0545151438378582
"ALPA4",2018,76,"Alpargatas",-0.438968230369557,0,0,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,165.088276545207,4155556237,804697015.31,346114247.77,1210728000.4,366114683.76,4076627809.5,111297059.69,541650980.51,2485764147.3,218528463.83,478268934.83,8062095560.1,463053374,215506890.34,-0.00442230680697897,0.109585448577682,0.377775997361459,0.0111995139724991,22.1477121280146,0.0294492840941728,0.585166508688832,2.0172556147885,0.388135684691231,0.129767377202236,0.692934363500922,0.0516305978106051,0.275698069903252,2.31953021317276,2.1885887378134,0.0832895112062949,5.10648034019899,0.634349274798554,0.139238571022896,0.442784125953737,-0.0102910176164168
"ALPA4",2019,80,"Alpargatas",2.18898340156517,1,1,17,"PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados",1045,158.080664316813,4526469272.8,1168738642.4,274373481.89,1257725718.7,531473060.79,3715820030.6,159408986.01,566817646.43,2645519712.7,94315290.067,429470248.28,17536575193,578816719,36035.26148,0.0892571330156686,0.104386138259353,0.430555785422764,-0.0885064312369133,22.2332080625656,0.452395895801549,0.539063100330862,2.22344403601489,0.403452616584562,0.136399946024843,0.70438641581346,8.67158556516486e-06,4.47811546388274e-05,4.26950296307554,4.55355910982102,0.0606153417496364,5.06310543639972,0.676312775482575,0.10371250706349,0.340964955343224,-0.00442230680697897
"ALUP11",2015,64,"Alupar",0.457404419237213,0,0,6,"UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",2149,249.816769917806,11866145841,4340116631.4,247913844.04,2284245960.9,4761505808.2,1770214290.8,87183313.682,701488002.47,2975024204.8,608678391.31,1276754696.7,3246532336.8,624901800,561519185.4,0.0132114435274489,0.0286128520116722,0.601613735105103,-0.0845187721108702,23.1969552953697,0.156588315395237,0.0892993184421408,1.87760718464557,0.703114388292013,0.0598977697664904,0.186938024009976,0.0479462895560994,0.149638035993148,0.867365380790957,2.09758505464957,0.0208925330399536,5.52072772881606,2.36830065373322,0.0833317065588938,0.0660660253152894,0.00363420757000986
"ALUP11",2016,68,"Alupar",0.45957321650368,0,0,6,"UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",2149,308.932376861572,11407610264,4248941888.1,346590597.73,1982074877.4,4343059681.6,1732675325.4,98229216.258,684382951.46,3232916432.8,572312948.81,1384355187,5983305540.4,750886270,545381847.29,-0.0386423345156996,0.0374864610589106,0.53304035225535,-0.0212058876685687,23.1575465366407,-0.021007440823218,0.102490290415194,1.45736511162828,0.661759867615943,0.0576752519841206,0.157687686664595,0.0459611616608986,0.125660643159738,1.0789674449383,2.41887797555247,0.0303824017221001,5.73312240783948,1.95647944834808,0.107206791432534,0.0798574386739924,0.0132114435274489
"ALUP11",2017,72,"Alupar",0.321308772343223,0,0,6,"UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",2149,346.490038553874,12416986634,4360384001.2,358410651.13,1847118199.3,4496653380.4,1666149985.3,107731709.02,1711512814.2,4207026248.5,458985737.24,1159793188.6,6795097542.7,879111269,471466229.02,0.0884827186974802,0.0408624023228639,0.556099957211862,-0.0383945792525454,23.2423312619531,0.0262282036410325,0.109707869023938,1.49302385082436,0.601259893611502,0.150032546220585,0.402809183856675,0.0413290968142423,0.110960856005217,1.05813668885036,2.52686106451616,0.0288645435236763,5.84785406945444,1.50789921549975,0.0851933479753757,0.0843529190488107,-0.0386423345156996
