"Código","year","Quarter","Quarter_index","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NUM","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","kz_dum","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK","INV_AT_L1","INV_K_L1","INV_AT_L1_quad","INV_K_L1_quad","LN_PU_FC_AT","LN_PU_FC_K"
"CPFE3",2019,80,"4","CPFL Energia","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Novo Mercado","Utilidade pública","Energia elétrica","Energia elétrica",1866,2.05200654019453,1,177.479120890299,44121467051,9092607362.7,2705318227.2,10075767411,20749450900,29961792426,1682699567.1,1939060423.2,13007108808,1631418387.1,4717155864.8,41002767661,1152254440,534584105.03,-0.0293920791532124,0.0965299912407989,0.678109842084454,0.342413653493334,24.5102122821615,-0.0198692203009052,0.473003081569735,3.32278124990803,0.7032530631402,0.0426565010538512,0.209019561569446,0.0117600705819946,0.0576250919870589,1.62796005601931,2.89144458717619,0.0613152374120498,5.17885297320961,2.36987471743459,0.207987667907883,0.291617745888495,-0.0616403021668845,-0.0154010060494549,0.00379952685122483,0.000237190987335346,0.499914632141309,2.44961341532473
"CPRE3",2014,57,"1","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.23017143999479,1,185.944798787435,12960485578,7280048929.7,-74187368.373,1537685424.3,6610277985.8,394669641.52,137386039.32,958987886.65,4795383407.2,119800571.64,25549677.771,8081591003.3,441486996,0,-0.0220971790294301,0.00476850641349189,0.614785330067189,-0.722408893142158,23.2851709946069,-0.0159780706759685,0.00854237089839783,1.10133527292084,0.629509780206885,0.07235816543969,0.1296234571405,0,0,1.25223351515079,0.213268412840104,-0.0057241195113037,5.22544984895238,1.69912658034106,-0.0154705811972431,-0.0100276794926542,-0.0122255409467488,-0.00600567834739619,0.000149463851440632,3.60681724123834e-05,0.0249175911181096,0.0446377307207282
"CPRE3",2014,58,"2","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.23879498841304,1,108.214881896973,12752284854,7147495797.8,-161790848.85,1416286114.7,6684026150.2,718511954.29,277359584.85,982336946.77,4634984388.6,262740610.63,40667010.28,7722370765.9,441529878,0,-0.016064268792013,0.00891700664334477,0.625000677339591,0.820540215666903,23.268976296731,-0.0182077254122881,0.0158747196778473,1.11267277776851,0.636052106620839,0.0757947640817937,0.134935486870482,0,0,1.24077239584535,0.154780070665469,-0.012687204740353,4.68411889759199,1.74764607294539,-0.034906449576817,-0.0222238683300535,-0.0220971790294301,-0.0159780706759685,0.000488285321058685,0.000255298742526244,0.0417683193280446,0.07435907443698
"CPRE3",2014,59,"3","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.22754589391599,1,160.586461385091,12436497069,7073898085,-136495421.16,877944238.35,6920801400.5,1171862119.2,416347193.87,856083195.32,4620747210.8,400071497.89,189670967.31,8330296253,441529878,0,-0.0247632317357581,0.0219452259664839,0.611556731059358,0.630957024727556,23.2439012985114,-0.0102969928044804,0.0391538212301067,1.09111580607721,0.627943969472939,0.0671317497312235,0.119773864796605,0,0,1.29691196824661,0.474092676709877,-0.0109753912538794,5.07883249774183,1.68776721232923,-0.0295396858847788,-0.0190969571751288,-0.016064268792013,-0.0182077254122881,0.000258060731822043,0.000331521264689282,0.111456126808866,0.19885569967424
"CPRE3",2014,60,"4","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.1334260815413,1,139.792752583822,15263220571,8505080871.2,-221383331.96,1337918966.4,8229082016.4,1636559730.6,566977757.47,1086658178.3,5549303622.6,608630685.53,303380073.58,7724442181.8,503308389,9737031.0843,0.227292579760749,0.0277887272913408,0.769268141159082,0.39654632041288,23.4487118871279,0.202318830297369,0.048854877658306,1.35243692626652,0.632892842036431,0.0873765476139317,0.153615187163104,0.000782940005555997,0.00137647319304007,1.1328830035683,0.498463322327915,-0.0145043656370024,4.94016098713846,1.72400027705055,-0.0398938942642097,-0.0312958045620472,-0.0247632317357581,-0.0102969928044804,0.000613217645998857,0.000106028060815521,0.137280786446912,0.241350960638986
"CPRE3",2015,61,"1","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.2505504135741,1,271.400217692057,14596156748,8275513809.1,-81399469.906,1450804368.5,7740788904,460394037.34,162059863.45,902506989.32,5263335458.4,172185841.28,62268130.89,8234502825.1,503308389,0,-0.0437040020418375,0.00528462477291681,0.602205362213264,-0.71868180016185,23.4040240945696,-0.0269917553491304,0.00948378913328539,1.08071791576076,0.635879528956191,0.059129525457737,0.1061138633468,0,0,1.19388249923993,0.361633281965052,-0.00557677416811474,5.60359454950825,1.74634380520639,-0.0154653775252138,-0.0095706873501504,0.227292579760749,0.202318830297369,0.0516619168142964,0.0409329090928956,0.0296128945737129,0.0531433090959636
"CPRE3",2015,62,"2","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.25713239028203,1,153.037785847982,14743425966,8133011609.9,-195845935.26,1374912200,8198616464.7,815469580.59,322087714.14,1357864821.7,5030933617.6,343744729.2,89954016.344,7710762238,503308389,387945.84568,0.0100895886871165,0.00864897390864879,0.655893796564756,0.771242706142559,23.4140631231594,-0.0172197403674562,0.0152548568937412,1.15685006218861,0.655520790813553,0.093028928446254,0.164082237432418,2.65786297295798e-05,4.68787624103054e-05,1.17233884054897,0.261688423713,-0.0132836109945981,5.03068485722795,1.90293281374423,-0.0389283481250599,-0.0236657130635976,-0.0437040020418375,-0.0269917553491304,0.00191003979447294,0.00072855485682731,0.0435102620727991,0.0767423775745232
"CPRE3",2015,63,"3","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.24079033623446,1,310.614451090495,14446754604,8263225484.5,-161649510.39,1238574436.8,8061963917,1294074699.1,483984612.59,1260692163.9,4993681924.6,530446462.72,282887557.13,7801626336.9,503308389,744569.2143,-0.0201222811227294,0.0218629715334374,0.630826130591905,0.586907384287375,23.3937356314008,0.0160105359300725,0.0396329327512128,1.14355404859853,0.650650274912445,0.0855087661990706,0.155009266477059,5.05017772678522e-05,9.15490165283503e-05,1.18380668596425,0.533300864482009,-0.0111893303943325,5.73855243600218,1.86246110469781,-0.0323708063170139,-0.0198757260094441,0.0100895886871165,-0.0172197403674562,0.000101799799875189,0.000296519458322601,0.125461808551454,0.227435662785383
"CPRE3",2015,64,"4","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.20592871038181,1,264.21462504069,14109125571,8164274405,-64532340.195,1392487884.8,7615638694.2,1777085082.1,640709292.81,1032933459.6,4949604536.4,710366577.24,546121833.27,6860179332,503308389,1460206.1293,-0.0233705799160261,0.0398827950227291,0.623539807100056,0.373247682947455,23.3700876286016,-0.0119748734541506,0.0697278506674883,1.09014652884606,0.645386166599889,0.0714993427876184,0.125003663707054,0.00010107502822092,0.000176711398235353,1.12468386727069,0.768788750439044,-0.00457380153506042,5.57676174650122,1.81996895161081,-0.0130378780204401,-0.00780958238596399,-0.0201222811227294,0.0160105359300725,0.000404906197582152,0.000256337260768143,0.222416845626305,0.388855610268198
"CPRE3",2016,65,"1","CPFL Renovav","ON","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Tradicional","Utilidade pública","Energia elétrica","Energia elétrica",2054,2.29127263241613,1,317.297541300456,13742714856,8119755055.4,-124500376.86,1153996159.8,7744199245.9,321941278.42,153954239.81,890955677.55,4698697304.9,189381570.7,39752666.808,7487176178.3,503308389,5368267.3907,-0.0259697678042588,0.00208757536402821,0.630669516755129,-0.818837442470926,23.3437746919956,-0.00545294626216087,0.00360765225283973,1.08989421034777,0.654428595936707,0.0631474766502381,0.10912858061267,0.000380481934453399,0.000657531474862278,1.19229510003595,0.209907789132092,-0.00905937277783536,5.75983994974241,1.8937579563639,-0.026496785977289,-0.0152494111153041,-0.0233705799160261,-0.0119748734541506,0.000546184005611363,0.000143397594242921,0.0120240999798277,0.0207794995706845
