"Código","year","Quarter","NOME","kz","kz_quintile","kz_dum","SETOR_NUM","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK"
"NTCO3",2007,32,"Grupo Natura",-6.86233091698382,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,113.58053334554,3826395467.9,918210836.87,901233324.9,1883622588.4,620679354.79,5990677307.2,146059633.25,790370639.69,1322091575.1,117719588.01,1222651862.2,14210709767,428757000,762412724.94,0.209975861417814,0.322235516634966,0.791905835761568,0.0669563687860303,22.0651890659004,-0.044574192112121,1.08973961148905,2.60580098948042,0.654481022722713,0.249929575659651,0.822404263416018,0.224965513542772,0.793313217858405,4.36834400688947,10.3861377946391,0.235530627312449,4.73251213020812,1.89419703623827,0.681672390834071,0.937760199469276
"NTCO3",2008,36,"Grupo Natura",-5.2026970343522,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,174.038621902466,3895206621.3,909427131.05,953798724.51,1965243886.3,644224801.33,6660468331,164960782.74,645235464.11,1285736092.8,219343276.3,1393796009.2,14969579775,428204000,784042356.12,0.0179832832171331,0.29237947740514,0.68196523582601,0.111805558779639,22.0830125626927,-0.0095661099469725,1.21841244115963,2.84190578334401,0.669918228879852,0.168627490159588,0.702709484794887,0.204903639129151,0.853880530088978,4.51299511725596,6.3544049888891,0.244864731769139,5.15927723954065,2.02955233367312,0.713065028438213,1.03875786062525
"NTCO3",2009,40,"Grupo Natura",-6.88442543207036,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,131.44704469045,4837746545,868741473.05,1207000307.2,2359704272.3,466465687.99,7486451860.3,163114922.7,882927067.46,2011574819.9,222455110.1,1616621258.2,27561849350,430113000,973931591.12,0.24197430722826,0.322235516634966,0.725550717858141,0.124012830367439,22.2997148593783,-0.0447376778313458,1.50656955694526,3.10763761471134,0.584191620000881,0.226670149570995,0.970860707048179,0.224965513542772,1.07092867352168,5.06807488149696,7.26717969064987,0.249496391754438,4.87860406853784,1.4049539357579,0.600027548197289,1.32720947725238
"NTCO3",2010,44,"Grupo Natura",-5.18942492533218,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,92.7765544255574,5368766763.7,933934537.34,1239848184.7,1993720205.8,1279607310.6,8559563266.3,148051920.58,63844557.955,2095437580.9,172258996.15,1946140896.4,34234768093,430798000,1078103861,0.109766027169991,0.28688979308237,0.676622366622971,0.143340453665456,22.4038640661506,0.0750431127238793,1.59759853573851,3.76789599431453,0.609698404954649,0.0131971688390715,0.0734908599803033,0.222852489474518,1.24099504219013,5.06807488149696,11.2977605808485,0.230937241133853,4.53019396159539,1.56212122290662,0.591689390321748,1.42717738609521
"NTCO3",2011,48,"Grupo Natura",-5.6139179158589,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,133.884857654572,5934557136.8,1252361265.2,1300030018.2,1994428896.9,1983991431.7,8748279329.6,171982702.67,153656510.26,1956135243.7,312980011.81,2057562183.8,24292798468,428199000,1193616689.1,0.105385537871657,0.274180791540948,0.741030576239484,0.0220473939415808,22.5040582433191,0.340951870959748,1.57614121977172,4.25984923946725,0.670382184500822,0.0286204480512959,0.164525996326937,0.222326046489938,1.27805177063011,4.76382957395272,6.57410092069739,0.219060999537532,4.89698015933123,2.03381659903784,0.664591071801872,1.39199265711139
"NTCO3",2012,52,"Grupo Natura",-5.09064764878101,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,117.530190149943,7946378204.3,1496162776.7,1273137341.5,3569648727.4,2445937111.7,9380749865.8,208702266.78,1691742248,1930790886.9,377345784.86,2024594409,37207111705,429212000,1263176612,0.339001044412356,0.249696746382499,1.01365370665952,0.0722965639723026,22.7959820900221,0.19467346865049,1.18323653841478,4.80339499971625,0.757022482890525,0.285066300484254,1.35084204135764,0.212851032163307,1.00863596399899,5.06807488149696,5.36535583603021,0.160216051736761,4.76669523802776,3.11560712240484,0.659386446319983,1.01658952322889
"NTCO3",2013,56,"Grupo Natura",-2.7432157552487,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,137.888738632202,8721338511.6,2009523188.8,1176103084.4,3247777971.5,3842929893,9784915868.3,269384509.87,1418530718.9,1599067667.7,729260736.58,1976431820.2,24773936358,429032000,1195041151.3,0.0975237129892267,0.18190520978322,0.892319454498532,0.0430846156524751,22.8890385621242,0.343118021711708,0.966129900289478,4.73926231485291,0.815982856890302,0.178512862392127,0.948112559001616,0.150388154273016,0.7987373900157,3.65364148864509,2.71018542622881,0.134853507043179,4.92644711817385,4.43427630220229,0.713065028438213,0.786079631652154
"NTCO3",2014,60,"Grupo Natura",-1.42728425280954,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,148.63472366333,9444622387.2,2193418741.3,961265208.82,4091305537.3,3846550969.6,9717908567.9,248982299.22,1527091260.3,1473999977,986579128.51,1790092103.4,17924465682,429032000,992377010.42,0.0829326684932572,0.138768551000547,0.910164935845809,-0.00684802008539306,22.9687113569207,0.0915120330658213,0.60225605496133,3.95011938709707,0.843389029622218,0.175098267114487,0.759927165215701,0.113787236798579,0.493837053461724,2.73831193335484,1.814443516663,0.101779104490485,5.0014917770144,5.38524873185938,0.652147370298093,0.478354872527759
"NTCO3",2015,64,"Grupo Natura",-0.397181222239472,0,0,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,249.816769917806,11135234448,2076941729.4,608632167.25,5419972250.5,4437857994,9362151895.7,283503997.97,1886703657,1218639203.9,2736259168.5,1489563146.8,11944725175,429032000,812594043.85,0.179002610320475,0.0944596966024903,1.04375059587983,-0.0366083576228662,23.1333801924857,-0.0531029528046096,0.406733173389066,4.49427647301739,0.889979455134413,0.199764858736649,0.860165741030271,0.08603774831181,0.370469180621841,1.95797901888056,0.544379408189089,0.0546582265593264,5.52072772881606,8.08921148519765,0.499435899733243,0.277481064509039
"NTCO3",2016,68,"Grupo Natura",2.6643468176021,1,1,3,"ON","Comércio","Comércio atacadista de bens não duráveis variados","Novo Mercado","Consumo não cíclico","Produtos de uso pessoal","Produtos de uso pessoal e de limpeza",2478,308.932376861572,9391014823.9,1934373675.4,330853003.6,4658830777.7,3621101872.1,8823516934.4,290789212.65,1217112723.1,1111082174.2,1928362099.6,1207520518.5,11045812910,430302000,137307247.05,-0.156639685697258,0.055826594325695,0.743579552677237,-0.0575332431369111,22.9630191992896,-0.0686432613789247,0.299306527212771,3.98659843586077,0.881686676570834,0.109302837653194,0.586011974178788,0.0123308806555628,0.0661103030028995,2.05789746073196,0.626189717558998,0.0352308041041511,5.73312240783948,7.45213346237123,0.29777545827177,0.159298163697437
